"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
0,0,0,0,0,0,0,0,0,438,0,0,0,0,0,0,0,0,1459,957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,881,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,379,0,204,0,0,1210,0,0,0,0,1681,1214,0,0,0,1843,0,0,0,600,0,0,0,0,0,0,0,0,3452,0,511,1074
0,3513,2672,1433,0,520,252,864,4370,2468,870,0,6077,544,106,0,567,2032,259,0,451,3858,1044,532,2181,0,382,235,0,598,1480,300,0,0,0,843,3474,0,3915,541,2257,0,0,3080,2123,0,0,0,298,4404
0,0,0,0,0,0,2081,0,0,0,0,0,1260,0,0,0,0,1081,0,0,0,0,0,0,1547,0,0,0,0,0,341,0,0,0,0,0,0,0,1047,0,0,0,0,1871,0,1334,418,0,0,0
269,0,0,0,0,0,384,0,0,0,0,0,0,197,0,0,0,542,0,0,0,0,0,0,0,0,0,442,0,612,0,587,0,0,0,1022,0,0,0,387,0,0,1057,0,0,0,0,0,0,242
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,0,0,0,0,0,0,0,0,0,0,1251,0,0,0,0,0,0,0,0,1837,715,0,0,0,3228,0,0,0,0,0,1250
1184,0,2513,0,0,0,0,0,0,1770,0,0,0,1195,0,859,0,672,0,478,0,0,0,0,0,0,0,0,747,0,0,2125,0,0,762,0,0,0,0,0,0,0,0,0,215,548,0,631,0,0
19379,20245,17216,13891,30171,36538,28429,32939,27864,28869,10022,8227,21788,9407,8523,18295,12389,10972,2541,28933,8086,7667,3867,18276,13625,7352,12638,16857,8354,15591,32581,29298,18799,23488,14542,18680,21411,21121,21919,16931,11489,20960,27044,15710,23311,12122,41940,40915,20641,40939
0,0,317,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0
0,0,0,0,907,0,1556,1055,464,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1723,0,0,0,869,0,0,0,0,0,0,0,1572,0,0,0,0,0,593,0
1917,5827,0,0,84,0,0,0,0,1662,0,622,0,0,79,0,316,0,0,318,100,0,0,230,0,1418,0,0,552,0,0,0,1177,0,0,523,489,0,835,795,0,0,1768,4413,240,0,579,0,0,1811
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1498,0,0,0,0,0,0,228,0,0,0,673,0,1933,1251,0,3771,0,0,0,0,0,0,0,828,0,0,3641,0,0,580
2937,0,233,311,1411,3146,615,0,1116,0,0,0,0,0,0,0,0,0,0,0,0,125,1100,0,0,44,0,0,51,0,183,0,0,0,0,0,0,1047,0,0,343,4660,0,860,0,0,771,0,0,360
886,0,0,675,1337,180,1277,1384,0,1655,0,0,0,0,0,0,0,0,102,0,115,0,470,0,490,1416,0,0,0,492,0,603,0,0,0,0,0,0,0,395,0,0,5634,956,0,0,0,664,0,0
0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,286,0,0,0,168,0,0,0,1084,380,0,0,1042,0,0,0,802,0,0,0,0,0,0,0,716,0,0,0,0,0,1953,0,0,0
