"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,380.04,0.18,0.02,0,0.01,0.02,0.01,0.01,0.01,2254.07,678.81,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.04,0.01,0.03,0.02,0.01,0.02,0.03,0.02,0.04,359.04,0.03,0.01,0.02,0.05,0.02,0.01,0.03,0.01,0.03,0.01,0.01,0.06,0.04
"2",0.13,0.07,916.44,0.16,0.12,0.07,0.1,0.08,0.04,0.15,0.06,0.92,0.04,0.03,526.53,0.03,0.09,0.04,585.4,0.18,247.56,0.02,0.27,1181.4,0.49,0.24,0.12,0.16,1640.31,1284.36,0.16,0.06,0.3,2304.73,0.05,0.14,0.08,598.42,0.03,0.09,0.09,0.11,0.07,0.04,0.22,0.07,2882.95,0.06,1247.68,1060.77
"3",0.75,2798.98,2779.98,1967.96,0.65,491.81,270.97,672.85,2720.32,2141.89,708.06,0.79,3769.66,477.1,143.98,0.57,539.26,1905.4,400.97,0.5,547.68,2970.2,1406.28,519.98,2023.87,0.76,416.13,296.07,0.69,633.52,1873.96,247.01,0.86,0.88,0.84,913.83,3594.99,0.7,3713.65,589.15,4348.92,0.76,0.64,2815.49,2224.45,1.19,0.59,0.55,729.57,4350.06
"4",0.01,0.16,0.01,0.06,0.01,0.02,2229.38,0.01,0.06,0.23,0.01,0.02,781.65,0.01,0.05,0.06,0.02,1013.13,0.04,0,0.12,0.01,0.18,0.04,1434.53,0.11,0.03,0.02,0.04,0.03,431.72,0.01,0.44,0.02,0.1,0.09,0.01,0.13,992.92,0.01,0.4,0.08,0.11,1708.87,0.06,2242.95,349.52,0.02,0.69,0.07
"5",285.91,0.13,0.19,0.28,0.16,0.16,411.5,0.12,0.09,0.14,0.13,0.21,0.09,172.55,0.27,0.13,0.16,507.75,0.33,0.11,0.23,0.12,0.27,0.17,0.16,0.2,0.2,554.68,0.17,647.07,0.25,481.94,0.24,0.24,0.23,1102.73,0.18,0.17,0.16,420.62,0.46,0.2,957.61,0.15,0.19,0.38,0.14,0.12,0.65,238.93
"6",0.1,0.06,0.1,0.15,0.08,0.08,0.1,0.06,0.05,0.07,0.07,0.11,0.04,0.07,0.14,0.07,0.09,0.08,942.02,0.06,0.12,0.06,0.14,0.09,0.08,0.1,0.1,0.13,0.09,1323.94,0.13,0.07,0.12,0.13,0.12,0.1,0.1,0.09,1742.44,777.79,0.24,0.1,0.08,2946.88,0.1,0.2,0.07,0.06,0.34,1234.68
"7",1258.46,0.23,2610.29,0.02,0.07,0.13,0.07,0.03,0.2,1534.88,0.01,0,0,1046.76,0,691.84,0.02,630.01,0.04,339,0.31,0,0.22,0.02,0.04,0.05,0.2,0.06,729.15,0.03,0.04,1744.43,0.04,0.04,910,0.01,0.02,0,0.26,0.02,0.02,0.13,0.17,0,225.61,924.58,0.01,492.02,0.43,0.09
"8",20626.76,16135.67,17921.5,19080.76,28060.96,34519.11,30510.18,25640.81,17351.4,25067.64,8158.86,9206.1,13519.22,8246.16,11513.36,14739.29,11776.75,10293.09,3934.94,20519.92,9813.98,5906.09,5215.86,17846.72,12648.67,7967.89,13750.7,21185.39,8159.98,16506.52,41251.81,24073.95,23036.86,29415.03,17382.92,20245.87,22162.48,21063.57,20799.4,18424.27,22150.67,22727.23,24531.34,14371.72,24430.26,20435.63,35077.37,31896.29,50426.36,40444.42
"9",0.08,0.06,329.44,594.98,0.07,0.07,0.08,0.06,0.05,0.07,0.06,0.09,0.05,0.07,0.1,0.06,0.07,0.07,0.12,828.29,0.09,0.06,0.1,0.08,0.07,0.08,0.08,0.1,0.08,0.08,0.1,0.06,0.1,0.1,0.09,0.08,0.08,0.08,0.07,0.08,0.15,0.08,543.53,0.07,0.08,0.13,0.06,0.06,0.19,0.08
"10",0.49,0.03,0.18,0.05,843.18,0.15,1667.03,820.87,288.86,1065.14,0.01,0.04,0.01,0.01,0.03,0.04,0.01,0.02,0.04,0.01,0.04,0.01,0.09,0.01,0.02,0.02,0.02,0.04,0.02,0.04,2177.6,0.09,0.05,0.14,1037.88,0.05,0.07,0.06,0.17,0.03,0.57,0.06,1424.64,0.09,0.1,0.17,0.33,0.13,1447.1,0.24
"11",2038.84,4642.32,0.26,0.35,78.33,0.24,0.27,0.2,0.16,1442.34,0.21,695.59,0.16,0.22,106.96,0.2,300.44,0.24,0.39,225.67,121.57,0.2,0.34,224.78,0.23,1535.72,0.28,0.32,539.02,0.27,0.32,0.21,1442.05,0.32,0.3,566.81,506.25,0.25,792.24,865.01,0.49,0.27,1603.3,4033.71,251.68,0.43,484.26,0.2,0.62,1788.97
"12",0.14,0.1,0.13,0.17,0.12,0.12,0.14,0.1,0.08,0.11,0.1,0.14,0.08,0.11,0.17,0.1,0.12,0.12,0.2,1062.35,0.16,0.1,0.17,0.12,0.12,0.14,248.11,0.16,0.12,0.14,852.11,0.1,2368.18,1566.25,0.15,4085.43,0.13,0.13,0.12,0.14,0.25,0.14,0.12,756.97,0.13,0.22,3044.21,0.1,0.31,573.04
"13",3123.82,0.2,242.52,427.17,1312.16,2972.17,659.88,0.1,694.75,0.11,0.09,0.12,0.07,0.18,0.33,0.09,0.12,0.22,0.18,0.11,0.14,96.32,1481.23,0.11,0.1,47.77,0.13,0.15,49.89,0.13,231.98,0.1,0.15,0.17,0.22,0.28,0.11,1043.88,0.1,0.12,661.23,5050.65,0.1,786.21,0.12,0.25,644.89,0.2,0.82,355.87
"14",942.37,0.02,0.04,926.89,1243.58,170.11,1369.51,1077.12,0.01,1436.33,0.03,0.14,0.01,0.03,0.1,0.03,0.02,0.16,157.63,0.02,139.59,0.08,633.02,0.05,454.75,1533.23,0.09,0.06,0.13,520.85,0.24,495.5,0.07,0.06,0.06,0.15,0.01,0.02,0.02,429.82,0.14,0.02,5105.69,873.95,0.03,0.08,0.01,517.54,0.33,0.03
"15",0.28,0.09,0.12,0.16,0.14,0.1,0.12,0.08,0.06,0.13,0.09,218.08,0.06,0.1,0.16,0.09,271.72,0.1,0.25,0.1,203.78,0.16,0.22,0.11,1005.08,411.41,0.12,0.15,1016.66,0.33,0.15,0.09,981.95,0.21,0.14,0.12,0.12,0.17,0.1,0.12,1378.6,0.12,0.1,0.1,0.17,0.21,1631.38,0.08,0.43,0.11
"16",0.14,0.08,0.13,0.21,444.63,0.11,0.14,0.08,0.06,724.81,0.09,361.32,0.06,0.1,0.2,0.09,0.11,0.11,797.36,802.92,521.76,0.08,2037.84,0.12,2161.4,1524.13,0.14,0.18,1000.83,626.81,0.18,0.09,519.71,2799.98,0.17,0.14,0.13,8844.95,0.11,0.14,0.37,0.14,0.1,0.11,2290.75,0.3,3642.62,0.08,1017.35,0.12
"17",2573.24,0.14,0.19,1101.99,1680.85,8.97,0.82,1403.41,0.1,1375.67,0.14,314.33,0.15,0.15,1057.99,0.14,0.18,0.17,1.16,0.12,267.17,0.13,0.9,245.22,417,0.9,772.13,30.38,741.82,575.86,0.24,907.72,1107.26,0.24,0.23,662.99,0.2,0.18,0.18,1071.13,133.29,0.2,1498.05,0.67,0.2,0.35,0.15,0.48,0.57,0.19
"18",0.02,0.02,0.02,0.03,0.02,0.02,1919.66,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.03,0.01,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.05,0.02
"19",397.76,0.09,0.11,0.15,1122.1,0.1,0.12,0.08,0.07,0.09,0.09,1807.37,228.93,0.1,0.15,0.09,0.1,0.1,234.83,0.08,0.13,0.08,0.14,276.33,334.04,0.12,0.12,0.14,0.11,0.11,0.14,865.02,0.13,0.14,0.13,0.12,0.11,0.11,0.1,0.12,0.21,0.12,2609.24,0.1,0.11,0.18,0.09,0.08,0.26,0.11
"20",0.15,650.02,0.15,0.19,0.13,0.13,0.15,0.11,2487.49,0.12,0.11,0.16,0.09,557.09,0.19,0.11,0.13,0.13,972.6,0.1,640.19,0.11,615.18,0.14,347.93,0.15,0.15,0.18,0.14,0.15,0.18,1397.95,0.17,0.17,0.17,0.15,0.14,0.14,0.13,0.15,0.27,0.15,0.13,0.13,0.15,0.24,0.12,0.11,0.34,703.16
"21",1.21,1.07,3071.45,2016.44,0.87,0.77,0.95,537.67,1809.35,1579.03,2256.14,3424.65,1934.64,5780.23,2.26,2696.03,1143.11,1663.26,2391.6,66.04,2203.38,1946.49,3457.03,2891.19,3202.22,4365.12,1991.09,1861.56,4985.56,1748.16,0.92,2382.1,2148.19,1216.41,620.01,1.25,4578.01,2459.78,3419.82,2733.07,522.13,1.16,3925.59,1530.98,2433.13,525.61,0.67,0.67,1.55,0.72
"22",419.23,1312.31,3912.83,531.61,0.19,1331.2,747.74,0.16,0.13,4236.49,0.17,0.23,0.13,556.45,0.28,0.17,0.2,0.19,287.57,394.41,0.25,1187.25,0.28,763.64,0.19,0.22,0.22,1725.26,0.2,0.22,0.26,0.17,0.25,0.26,0.25,0.22,0.21,316.21,0.2,891.12,3447.54,0.22,0.19,0.19,0.22,0.35,0.17,0.16,0.5,0.2
"23",0.05,137.87,0.01,0.07,522.61,0.09,0.05,0.03,0,3221.11,0.01,210.24,0,0.01,0.02,306.12,0.01,156.61,0.08,0.01,0.06,672.8,0.06,0,0.06,1187.32,0,0.02,128.89,0.04,0.04,0,0.03,68.91,0.02,0,0.02,0.02,0.03,0.22,0.07,0.02,3023.49,641.69,0,0.05,0.01,1147.63,0.02,0.11
