"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
12,12,32,4,12,14,12,18,18,8,14,9,40,5,8,54,16,15,54,23,31,24,46,9,36,7,29,19,14,18,11,19,5,26,11,13,15,30,11,5,12,15,16,15,41,23,19,14,20,15
16,14,26,34,3,27,12,16,54,57,14,27,23,21,29,11,7,11,38,7,30,18,25,40,42,46,13,27,28,62,16,21,28,29,28,44,39,31,6,3,32,27,18,49,25,18,29,5,55,35
115,125,89,66,115,95,155,119,153,178,263,29,364,123,249,39,175,389,109,41,242,368,75,217,102,91,59,193,94,110,64,115,94,169,54,50,171,58,77,221,253,41,132,108,114,86,36,69,55,95
39,39,97,29,40,34,38,33,35,46,0,7,67,41,11,20,11,24,8,22,10,16,37,90,33,42,120,108,20,24,11,21,24,44,17,29,33,40,30,31,28,27,37,45,33,19,40,17,23,22
48,34,34,10,24,15,52,29,7,27,22,3,36,12,19,52,17,56,9,21,3,41,8,17,11,28,27,47,8,30,32,108,6,0,9,24,27,11,13,60,22,10,11,38,18,21,26,93,29,49
3,8,2,6,19,27,4,0,3,7,1,24,33,2,16,1,23,11,53,2,3,23,6,6,6,2,4,0,5,23,1,4,8,29,0,5,0,13,32,24,4,1,24,5,2,0,0,3,0,13
19,17,93,17,10,10,8,30,6,18,13,7,13,84,45,77,34,23,60,26,16,49,69,10,20,18,13,15,32,27,15,78,15,37,17,6,36,11,28,17,6,13,31,6,25,110,28,21,1,12
2673,2475,2505,2406,2542,2314,2583,2484,2410,2808,2430,2416,2593,2236,2469,2450,2654,2864,1842,2351,2267,2481,2179,2626,2400,2163,2561,2494,1881,2400,2637,3041,2401,2345,2695,2344,2559,1927,2785,2502,2996,2251,2509,2924,2433,2715,2745,2854,2488,2707
6,12,8,19,6,15,11,9,11,6,4,12,8,30,0,14,1,4,1,8,3,12,30,12,2,6,5,19,0,1,5,13,1,21,8,7,2,1,8,5,15,23,10,10,16,1,30,1,12,2
20,9,12,27,30,14,9,12,17,80,4,15,7,11,5,5,1,7,5,4,0,11,3,17,3,3,0,12,1,3,29,4,7,5,23,8,17,14,5,7,33,33,41,6,5,18,15,48,86,31
103,56,39,89,16,42,35,54,86,57,83,201,46,62,106,19,93,95,114,6,40,47,30,18,56,62,34,35,56,69,40,55,110,46,68,95,56,44,75,73,53,58,116,51,71,128,30,95,61,129
12,7,9,12,12,5,0,6,0,7,4,2,1,10,6,11,15,2,11,5,5,4,9,16,15,6,9,0,5,3,49,30,47,16,15,58,3,22,27,15,22,9,9,32,0,13,85,12,20,69
74,63,74,139,46,24,102,42,46,27,3,6,16,22,26,15,19,0,9,8,18,23,18,27,6,20,18,9,31,3,65,11,23,15,27,43,4,105,31,43,38,87,67,48,14,33,91,38,98,95
111,24,90,122,112,55,166,150,76,121,56,29,31,76,50,47,68,55,97,23,45,15,24,29,29,36,41,33,34,68,23,39,31,6,15,27,18,62,35,35,75,72,99,34,28,37,23,76,64,54
8,26,13,29,0,22,16,21,13,2,69,159,69,23,83,4,46,26,29,20,46,70,15,61,41,36,28,34,115,28,2,8,24,3,0,29,20,0,9,33,71,20,16,39,11,3,31,5,18,19
28,32,29,32,44,99,50,35,89,36,40,26,30,113,38,51,30,24,103,49,40,23,68,16,31,69,23,29,103,40,18,14,40,61,25,42,24,114,35,20,23,75,18,20,34,23,15,31,44,18
55,55,13,40,39,32,28,37,13,38,39,47,19,35,47,22,36,21,43,0,36,46,13,38,37,14,27,30,25,56,38,29,45,36,18,50,32,42,22,26,38,41,56,39,6,13,27,9,32,53
0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,5,0,1
29,32,23,33,25,35,25,27,32,37,38,90,41,41,54,19,32,36,35,37,30,16,24,29,17,24,27,22,9,40,27,27,25,22,44,16,37,41,28,24,38,35,39,30,26,30,36,38,24,34
15,28,24,15,18,22,14,9,30,14,2,16,15,95,2,31,24,13,89,17,28,7,116,32,23,30,34,5,69,21,23,21,29,29,25,23,19,60,14,25,15,22,18,21,19,18,16,13,10,15
111,98,125,101,96,72,104,51,152,39,314,596,425,740,506,508,704,607,480,94,522,888,501,514,455,547,493,405,621,381,108,242,210,152,129,142,257,116,159,255,113,66,42,104,104,107,151,47,47,123
20,24,136,45,19,28,72,55,40,124,13,26,35,122,19,14,26,3,19,18,20,88,140,115,5,34,65,147,122,9,23,99,7,81,24,1,16,37,18,88,134,61,26,113,20,10,43,10,19,26
42,19,21,2,6,13,16,6,29,42,0,13,0,18,0,34,11,48,22,1,0,35,0,0,31,11,14,3,36,45,6,37,5,56,56,24,35,0,36,29,19,51,37,28,19,0,38,23,40,27
94,105,15,18,70,85,46,7,105,20,66,41,24,28,43,29,92,30,16,43,59,28,9,65,114,60,34,0,58,22,31,103,45,101,57,69,79,63,78,46,39,97,71,120,79,115,1,66,17,23
1908,1829,1483,2893,1192,1138,1352,1268,1723,910,6779,8970,6816,8708,8414,7900,8348,8572,6475,4481,9192,13278,6901,9049,6579,10149,8819,5733,9697,5952,2477,3641,3458,1818,1646,3177,4629,1683,1993,4729,1876,1297,1401,1146,1763,1879,1488,1186,948,1741
55,78,37,80,71,52,51,58,69,65,73,81,68,51,70,53,69,49,64,61,75,58,67,43,62,86,65,58,67,50,58,20,53,70,76,59,55,51,34,75,61,60,62,69,55,42,50,45,44,71
13,9,3,0,3,4,1,0,4,0,1,42,3,26,21,5,0,2,14,3,1,6,12,3,0,10,5,4,4,2,3,4,3,3,1,4,0,2,6,1,8,6,4,6,3,1,4,5,4,3
34,65,80,41,47,22,47,66,54,39,24,167,213,234,146,220,191,117,164,84,161,177,292,258,235,184,336,153,107,120,57,35,91,99,34,37,37,121,53,121,80,43,30,64,9,25,53,9,17,42
19,13,1,13,6,0,5,16,2,0,0,1,30,61,32,0,13,59,5,0,0,1,2,2,0,2,28,6,0,2,0,0,2,11,0,11,1,3,7,12,5,20,10,4,2,1,0,16,5,3
4,4,0,1,7,0,0,0,4,0,4,0,0,0,2,0,0,0,0,1,0,0,0,3,0,2,1,0,1,0,19,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
62,42,38,40,59,47,53,53,48,31,46,53,69,53,92,80,74,58,40,14,78,72,88,104,91,103,73,99,88,53,54,84,90,44,71,99,107,45,60,84,54,43,59,77,82,50,83,53,59,85
10,18,17,22,26,12,19,13,12,19,6,19,19,11,10,19,15,14,15,19,10,12,19,13,20,23,19,14,18,28,15,15,22,8,28,17,31,16,14,20,23,19,26,17,31,10,17,16,24,26
15,18,9,8,13,20,8,8,11,30,21,27,8,10,14,14,16,4,12,37,11,12,19,16,14,26,3,9,13,34,16,18,8,18,7,25,2,38,2,8,9,9,13,10,20,31,28,36,7,22
